States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Alabama,Autauga County,"55,036",692,766,"20,285","21,214","5,104","5,304",84,88,254,256,6,7,976
Alabama,Baldwin County,"203,360","4,407","4,601","82,626","86,298","9,414","9,801",759,750,676,694,0,0,"3,334"
Alabama,Barbour County,"26,201",587,507,"6,349","5,626","6,722","5,801",24,18,76,71,0,0,420
Alabama,Bibb County,"22,580",293,232,"8,963","7,886","2,859","2,104",44,39,0,0,0,0,160
Alabama,Blount County,"57,667","2,546","2,637","24,898","25,469",428,446,95,95,39,42,0,0,972
Alabama,Bullock County,"10,478",17,16,"1,253","1,007","4,195","3,725",67,43,35,35,0,0,85
Alabama,Butler County,"20,126",33,31,"4,864","5,645","4,248","4,740",6,6,115,106,0,0,332
Alabama,Calhoun County,"115,527","1,942","2,162","40,726","43,250","11,046","12,471",95,101,539,592,2,3,"2,598"
Alabama,Chambers County,"33,895",344,379,"9,172","9,867","6,404","6,925",40,45,169,164,0,0,386
Alabama,Cherokee County,"25,855",199,204,"11,821","11,902",624,652,55,58,14,15,0,0,311
Alabama,Chilton County,"43,805","1,643","1,723","17,289","17,912","2,095","2,051",88,85,83,101,0,0,735
Alabama,Choctaw County,"13,188",29,37,"3,519","3,896","2,657","2,895",2,2,4,4,0,0,143
Alabama,Clarke County,"24,625",23,26,"6,187","6,862","5,302","5,935",6,7,62,67,9,10,129
Alabama,Clay County,"13,407",190,228,"5,193","5,553",953,"1,012",54,60,2,3,0,0,159
Alabama,Cleburne County,"14,939",185,167,"6,823","7,014",196,222,24,20,38,42,0,0,208
Alabama,Coffee County,"51,073","1,669","1,714","17,868","18,380","4,370","4,379",249,271,319,328,0,0,"1,526"
Alabama,Colbert County,"54,435",630,661,"20,643","22,219","4,104","4,555",183,210,112,124,9,9,976
Alabama,Conecuh County,"12,649",100,126,"3,064","3,291","2,776","3,077",11,9,2,1,0,0,192
Alabama,Coosa County,"10,955",7,6,"3,385","3,764","1,991","1,642",3,3,0,0,0,0,154
Alabama,Covington County,"37,519",278,299,"15,175","16,122","2,302","2,566",60,59,69,78,4,4,503
