States,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Alabama,"4,850,771","96,686","100,625","1,560,421","1,636,522","607,814","672,087","10,929","11,155","29,693","31,699",672,715,"91,753"
Alaska,"738,565","26,281","23,751","237,223","217,110","11,758","10,673","53,577","47,948","23,369","21,210","4,483","4,213","56,969"
Arizona,"6,809,946","1,054,123","1,047,856","1,870,005","1,914,941","138,897","135,860","131,499","133,992","102,337","103,675","6,116","5,558","165,087"
Arkansas,"2,977,944","104,692","107,933","1,069,793","1,103,839","220,857","235,702","8,206","8,377","20,275","21,216","3,492","3,422","70,140"
California,"38,982,847","7,538,998","7,558,874","7,311,527","7,458,372","1,072,103","1,082,128","67,858","66,459","2,677,947","2,742,342","67,505","68,160","1,270,574"
Colorado,"5,436,519","583,285","572,740","1,871,695","1,859,000","105,389","103,415","14,140","13,840","80,396","80,326","3,667","3,558","145,068"
Connecticut,"3,594,478","268,705","282,425","1,195,201","1,250,063","169,396","180,700","2,451","2,545","74,986","79,213",300,327,"88,166"
Delaware,"943,732","41,166","43,392","288,365","306,311","96,774","104,484","1,339","1,459","17,360","18,533",95,97,"24,357"
District of Columbia,"672,391","34,861","36,762","116,436","125,302","146,546","168,447",519,580,"12,011","12,920",118,117,"17,772"
Florida,"20,278,447","2,451,863","2,558,938","5,441,312","5,679,578","1,521,918","1,603,697","20,131","20,385","258,164","272,073","4,893","5,012","440,483"
Georgia,"10,201,635","471,397","477,107","2,683,617","2,783,837","1,502,120","1,646,493","8,706","8,850","188,340","196,810","2,219","2,218","229,921"
Hawaii,"1,421,658","73,536","71,535","160,768","155,001","12,645","11,084",847,816,"261,868","264,039","65,163","65,939","278,417"
Idaho,"1,657,375","101,403","100,240","685,141","682,684","5,251","5,246","8,956","8,719","10,789","10,920",985,933,"36,108"
Illinois,"12,854,526","1,076,712","1,082,327","3,919,943","4,032,525","853,686","949,927","6,744","6,986","327,332","337,076","1,421","1,416","258,431"
Indiana,"6,614,418","215,953","224,579","2,610,049","2,669,092","288,456","314,428","5,758","5,871","67,235","68,399",913,965,"142,720"
Iowa,"3,118,102","88,436","89,068","1,338,165","1,358,251","51,380","52,103","4,091","4,195","35,101","35,079","1,275","1,333","59,625"
Kansas,"2,903,820","168,389","165,767","1,103,739","1,115,816","80,674","82,197","9,331","9,365","39,563","40,057",817,788,"87,317"
Kentucky,"4,424,376","74,833","76,239","1,856,206","1,907,150","168,108","179,437","3,884","3,859","28,766","29,833",985,985,"94,091"
Louisiana,"4,663,461","114,002","116,646","1,356,349","1,394,858","716,236","772,726","12,142","12,169","39,027","40,818",576,545,"87,367"
Maine,"1,330,158","9,860","10,263","609,002","635,556","7,891","7,935","3,647","3,790","6,987","7,408",108,108,"27,603"
Maryland,"5,996,079","282,921","288,962","1,518,029","1,589,869","831,928","920,864","5,428","5,711","179,014","190,421","1,158","1,196","180,578"
Massachusetts,"6,789,319","370,044","388,665","2,402,786","2,548,215","216,207","236,132","4,115","4,406","205,294","217,589",786,828,"194,252"
Michigan,"9,925,568","238,090","243,905","3,700,312","3,790,386","648,580","708,198","21,670","21,218","140,463","145,426","1,074","1,132","265,114"
Minnesota,"5,490,726","141,456","141,961","2,205,773","2,227,362","158,921","161,483","26,045","25,143","125,500","127,828",762,749,"147,743"
Mississippi,"2,986,220","43,806","43,948","830,781","870,867","535,597","582,149","6,027","6,339","13,884","14,536",262,275,"37,749"
Missouri,"6,075,300","119,961","123,185","2,389,838","2,457,862","330,383","366,538","11,001","11,115","54,297","56,487","2,725","2,862","149,046"
Montana,"1,029,862","18,310","18,023","448,582","443,121","2,019","1,890","31,911","32,056","3,576","3,523",246,254,"26,351"
Nebraska,"1,893,921","99,790","98,006","752,420","759,111","42,737","44,096","6,389","6,403","20,583","20,926",628,651,"42,181"
Nevada,"2,887,725","411,457","402,178","729,228","727,375","122,197","119,812","12,280","11,755","113,022","114,529","8,638","8,546","106,708"
New Hampshire,"1,331,848","22,349","22,643","599,075","611,720","7,981","7,939",884,896,"16,151","16,617",117,107,"25,369"
New Jersey,"8,960,161","870,564","891,915","2,445,557","2,575,937","547,383","586,952","4,366","4,579","408,564","428,363",972,"1,041","193,968"
New Mexico,"2,084,828","497,366","506,240","393,685","401,554","18,415","18,541","88,932","92,029","13,701","13,973",439,450,"39,503"
New York,"19,798,228","1,803,488","1,918,160","5,413,202","5,653,553","1,333,001","1,505,358","21,476","22,818","794,188","840,866","2,673","2,739","486,706"
North Carolina,"10,052,564","446,098","466,540","3,127,597","3,267,692","1,019,765","1,105,481","52,587","55,433","129,119","136,332","2,479","2,509","240,932"
North Dakota,"745,475","12,673","11,873","327,432","311,125","8,770","8,111","19,368","19,106","5,049","4,871",157,131,"16,809"
Ohio,"11,609,756","202,025","209,821","4,542,928","4,697,337","671,322","734,748","7,985","8,216","113,560","118,832","1,436","1,478","300,068"
Oklahoma,"3,896,251","196,921","196,916","1,283,134","1,304,957","135,248","142,643","136,849","138,759","38,732","39,867","2,475","2,540","277,210"
Oregon,"4,025,127","253,237","255,431","1,523,427","1,555,744","35,915","36,065","17,127","17,156","81,375","82,381","7,043","7,170","153,056"
Pennsylvania,"12,790,505","428,173","443,717","4,853,765","5,024,223","643,963","711,445","6,795","6,736","200,751","211,194","1,009","1,086","257,648"
Rhode Island,"1,056,138","75,007","78,668","374,535","398,618","28,112","29,509","1,881","1,958","16,829","17,978",349,333,"32,361"
South Carolina,"4,893,444","131,102","135,295","1,520,017","1,598,578","633,648","686,492","6,413","6,612","34,302","36,155","1,321","1,353","102,156"
South Dakota,"855,444","15,096","14,589","356,012","351,088","7,276","6,889","35,350","35,562","5,794","5,673",155,155,"21,805"
Tennessee,"6,597,381","167,159","171,613","2,397,797","2,499,659","523,675","574,078","7,109","7,421","53,009","55,923","1,574","1,679","136,685"
Texas,"27,419,612","5,315,627","5,353,417","5,831,554","5,918,873","1,575,409","1,618,718","31,737","31,887","603,117","615,994","9,679","9,935","503,665"
Utah,"2,993,941","206,694","201,968","1,188,748","1,175,887","15,815","15,463","14,124","13,760","33,236","32,833","13,058","12,884","69,471"
Vermont,"624,636","5,444","5,585","287,227","295,019","3,602","3,784",870,887,"4,626","4,866",73,76,"12,577"
Virginia,"8,365,952","372,752","374,835","2,578,173","2,658,993","765,031","809,159","8,432","8,467","253,861","260,663","2,254","2,140","271,192"
Washington,"7,169,967","443,494","437,118","2,492,047","2,508,091","125,978","124,374","39,598","39,200","285,976","286,136","21,954","21,876","344,125"
West Virginia,"1,836,843","13,328","13,307","837,266","857,145","31,581","32,519","1,527","1,521","6,786","6,842",238,243,"34,540"
Wisconsin,"5,763,217","189,119","190,153","2,350,210","2,363,568","170,389","187,413","22,693","22,419","73,841","76,366",706,709,"115,631"
Wyoming,"583,200","29,083","27,432","251,201","240,312","3,005","2,696","5,908","5,960","2,500","2,309",186,163,"12,445"
